layout_id,interpolation_method,mean_delta_annual_pct,median_rank
ctrl_radial_expand_015,idw12,-0.9415784032799838,15.0
ctrl_radial_expand_015,idw3,-0.9354085224809997,15.0
ctrl_radial_expand_015,idw6,-0.9430480385440735,15.0
ctrl_radial_expand_015,linear_nearest,-0.9421625606694258,15.0
ctrl_radial_expand_015,nearest,-0.9038474685976462,15.0
deform_0276,idw12,3.3561537212781065,1.0
deform_0276,idw3,3.332710853411436,1.0
deform_0276,idw6,3.3630798696240825,1.0
deform_0276,linear_nearest,3.358245016785784,1.0
deform_0276,nearest,3.2031714739191828,1.0
deform_0893,idw12,0.24843682644557497,9.0
deform_0893,idw3,0.2439345233387439,9.0
deform_0893,idw6,0.24928945068335429,9.0
deform_0893,linear_nearest,0.24439321990421536,9.0
deform_0893,nearest,0.2226749266950286,9.0
deform_1387,idw12,0.7393831875478707,5.0
deform_1387,idw3,0.7330920786619677,5.0
deform_1387,idw6,0.740616379223058,5.0
deform_1387,linear_nearest,0.7345560120942415,5.0
deform_1387,nearest,0.7091729915906009,5.0
joint_g02_0333,idw12,0.9704010862955137,4.0
joint_g02_0333,idw3,0.9654127974749516,4.0
joint_g02_0333,idw6,0.9721534157285309,4.0
joint_g02_0333,linear_nearest,0.9705434762734925,4.0
joint_g02_0333,nearest,0.9363831982204548,4.0
joint_g04_0478,idw12,-0.7374508429948504,11.0
joint_g04_0478,idw3,-0.735130809703551,11.0
joint_g04_0478,idw6,-0.7384346061851973,11.0
joint_g04_0478,linear_nearest,-0.7443989585880884,11.0
joint_g04_0478,nearest,-0.7170163839104701,11.0
sb_balanced,idw12,-1.7022099890172282,16.0
sb_balanced,idw3,-1.693761422615651,16.0
sb_balanced,idw6,-1.7032977899028339,16.0
sb_balanced,linear_nearest,-1.694877883288511,16.0
sb_balanced,nearest,-1.6548609863394292,16.0
sb_hs_energy,idw12,0.49705147902991226,7.0
sb_hs_energy,idw3,0.4941745889597689,7.0
sb_hs_energy,idw6,0.49766347912950276,7.0
sb_hs_energy,linear_nearest,0.49681307790824986,7.0
sb_hs_energy,nearest,0.4804007548322035,7.0
sb_hs_flux,idw12,-0.8400711715619883,13.0
sb_hs_flux,idw3,-0.8366793857944309,13.0
sb_hs_flux,idw6,-0.8417633995125332,13.0
sb_hs_flux,linear_nearest,-0.8425673945144189,13.0
sb_hs_flux,nearest,-0.8122202792023007,13.0
sb_hy_energy,idw12,1.8468006110653985,2.0
sb_hy_energy,idw3,1.8352174777811407,2.0
sb_hy_energy,idw6,1.8502614977553862,2.0
sb_hy_energy,linear_nearest,1.8506960183641692,2.0
sb_hy_energy,nearest,1.7712866006381258,2.0
sb_hy_flux,idw12,-0.7545544044789189,12.0
sb_hy_flux,idw3,-0.7531231079446625,12.0
sb_hy_flux,idw6,-0.7554608138375366,12.0
sb_hy_flux,linear_nearest,-0.7525416494545466,12.0
sb_hy_flux,nearest,-0.7404740735576233,12.0
sb_pf_energy,idw12,0.6956952000016114,6.0
sb_pf_energy,idw3,0.692948491722345,6.0
sb_pf_energy,idw6,0.6970032994472334,6.0
sb_pf_energy,linear_nearest,0.6983824525232903,6.0
sb_pf_energy,nearest,0.6728440095407148,6.0
sb_pf_flux,idw12,-0.8622876251968984,14.0
sb_pf_flux,idw3,-0.8598400063901113,14.0
sb_pf_flux,idw6,-0.8634899891482121,14.0
sb_pf_flux,linear_nearest,-0.8666429032920308,14.0
sb_pf_flux,nearest,-0.8389093018984403,14.0
sb_ta_energy,idw12,1.1032466088996107,3.0
sb_ta_energy,idw3,1.0959412734304081,3.0
sb_ta_energy,idw6,1.1052981700695315,3.0
sb_ta_energy,linear_nearest,1.104834936799744,3.0
sb_ta_energy,nearest,1.0555179091082427,3.0
sb_ta_flux,idw12,0.28705335717353897,8.0
sb_ta_flux,idw3,0.2837193501238233,8.0
sb_ta_flux,idw6,0.2875862590352625,8.0
sb_ta_flux,linear_nearest,0.28510311926765636,8.0
sb_ta_flux,nearest,0.2706535584561946,8.0
