layout_id,label,role,family,view,strategy,strategy_short,cases,mean_delta_peak_pct,median_delta_peak_pct,ci95_low_pct,ci95_high_pct,share_lower_peak,p10_delta_peak_pct,p90_delta_peak_pct
ctrl_radial_compact_015,$C_{rad-}$,same-condition control,control,best-direct,staggered_levels:9:0.380:5,S9-p5,27,-1.4428858273735599,-0.540545774064752,-5.028884688066031,2.146143642365817,0.6666666666666666,-12.709930913096898,10.388371528074579
ctrl_radial_expand_015,$C_{rad+}$,same-condition control,control,best-direct,visible_equator,visible,27,-2.4339956293509535,-7.17174720294949,-6.61188132472696,1.7030004055823236,0.5555555555555556,-14.466736391809395,9.957267322777001
ctrl_ring_wave_012,$C_{wave}$,same-condition control,control,best-direct,five_point,five-point,27,-2.3033582726457618,-0.0812967185900528,-5.79752471129239,1.1994956788797586,0.5555555555555556,-15.963769572139318,10.528279423517814
deform_0276,$L_{opt}$,TS-FPDA optical-upper,tsfpda,best-direct,five_point,five-point,27,-1.1969595833436601,-0.4937631293524949,-5.801018024951358,3.648320537160785,0.7407407407407407,-16.67211609393424,21.245586431438205
deform_0893,$L_{nom}$,TS-FPDA nominal-proxy,tsfpda,best-direct,staggered_levels:9:0.380:0,S9-p0,27,-3.491041106492582,-0.1939109767562981,-7.149265612859609,0.08590584620538624,0.5185185185185185,-16.739997336018085,10.329091158983823
deform_1387,$L_{rob}$,TS-FPDA receiver-risk,tsfpda,best-direct,staggered_levels:9:0.380:2,S9-p2,27,-3.6050523457845536,-0.7217625114828876,-6.173736931799022,-0.9653376944908785,0.5925925925925926,-10.428748280845655,1.0694069280312868
deform_1822,$L_{ctrl}$,TS-FPDA default-flux-control,tsfpda,best-direct,five_point,five-point,27,-0.877812331145349,0.2862976924834314,-4.470497379691798,2.7098480270678715,0.4444444444444444,-16.183428029540508,11.227887056065631
ctrl_radial_compact_015,$C_{rad-}$,same-condition control,control,proxy-selected,staggered_levels:9:0.380:0,S9-p0,27,-0.6417161297691744,-0.1366164921003061,-4.823129782432765,3.902941693185332,0.5555555555555556,-12.587459554040334,10.743121670579445
ctrl_radial_expand_015,$C_{rad+}$,same-condition control,control,proxy-selected,staggered_levels:9:0.380:0,S9-p0,27,-1.1957071703725797,0.2449458015293876,-4.5481372564704925,2.312521640352767,0.4444444444444444,-9.892936042762845,9.972486226903502
ctrl_ring_wave_012,$C_{wave}$,same-condition control,control,proxy-selected,staggered_levels:9:0.380:1,S9-p1,27,1.3343342574501205,0.2509583902938582,-2.5220199554886436,5.263636287899858,0.4074074074074074,-9.368031892870635,14.273995232383815
deform_0276,$L_{opt}$,TS-FPDA optical-upper,tsfpda,proxy-selected,staggered_levels:9:0.380:0,S9-p0,27,1.6168789130072412,-0.5439866236097607,-2.9758472233925524,7.4119633825500415,0.7037037037037037,-9.61923958744284,13.175911161647296
deform_0893,$L_{nom}$,TS-FPDA nominal-proxy,tsfpda,proxy-selected,staggered_levels:9:0.380:2,S9-p2,27,2.1136763552787934,0.2844156862141229,-2.3095429691765132,6.732963144846048,0.37037037037037035,-12.478901697821183,15.102420037614458
deform_1387,$L_{rob}$,TS-FPDA receiver-risk,tsfpda,proxy-selected,staggered_levels:9:0.380:1,S9-p1,27,-0.40365849930482983,0.0349694266399505,-4.932721862517094,3.9411467007868084,0.48148148148148145,-12.742774663812153,14.015636577336446
deform_1822,$L_{ctrl}$,TS-FPDA default-flux-control,tsfpda,proxy-selected,staggered_levels:9:0.380:1,S9-p1,27,-0.7338651486848117,-0.2603543771257712,-4.74626804098847,3.6289196663473517,0.5185185185185185,-10.086111840507552,10.348060360344187
