layout_id,strategy,heliostat_count,group_count,intercept_fraction_proxy,spillage_proxy,peak_flux_proxy,mean_active_flux_proxy,peak_to_mean_proxy,cv_active_proxy
baseline_full,staggered_levels:9:0.380:0,11915,349,0.9938542273100508,0.006145772689949203,2.2135063719525467,1.3573053540011757,1.630809430926793,0.25920363124567036
ctrl_azimuth_stagger_018,staggered_levels:9:0.380:5,11915,350,0.9934531172958724,0.006546882704127621,2.176282593675343,1.3531834759082764,1.608268673407049,0.2632182724171642
ctrl_ellipse_xwide_015,staggered_levels:9:0.380:8,11915,351,0.9937035294087426,0.006296470591257375,2.2472474848245336,1.3468522855537504,1.668518150749242,0.25555741518431224
ctrl_north_bias_012,staggered_levels:9:0.380:0,11915,346,0.9938442169799534,0.006155783020046601,2.2141726857484287,1.360774620161782,1.627141374436559,0.25784373408001127
ctrl_radial_compact_015,staggered_levels:9:0.380:0,11915,349,0.9938543438009521,0.006145656199047944,2.212735247868969,1.3582763522914605,1.6290758829276575,0.25916484296178205
ctrl_radial_expand_015,staggered_levels:9:0.380:0,11915,349,0.9938541124986054,0.0061458875013945535,2.2140741513714772,1.356246503600012,1.6325012787088875,0.2592396383670004
ctrl_ring_wave_012,staggered_levels:9:0.380:1,11915,346,0.9938464721687408,0.00615352783125922,2.1721920710789275,1.3644679719681407,1.5919699954156539,0.2631083875269819
deform_0276,staggered_levels:9:0.380:0,11915,347,0.9938124483995937,0.006187551600406294,2.1035903489278867,1.3646241024392658,1.5415163378455052,0.2636582345653358
deform_0893,staggered_levels:9:0.380:2,11915,346,0.9936439187794133,0.006356081220586729,2.0890120971565556,1.3659773059568476,1.5293168400724142,0.2671717607162932
deform_1387,staggered_levels:9:0.380:1,11915,351,0.9937683647046124,0.006231635295387616,2.0857814758342763,1.3511564096929172,1.5437009815231684,0.2526997041362772
deform_1822,staggered_levels:9:0.380:1,11915,349,0.9938214909443907,0.006178509055609349,2.1386321073217114,1.356542638441247,1.5765314312413612,0.2571125270474206
