layout_id,role,family,description,heliostat_count,energy_ratio_proxy,flux_risk_index_proxy,min_neighbor_m,terrain_elevation_range_m,terrain_slope_p95_pct,x_span_p99_m,y_span_p99_m,ellipse_axis_ratio,layout_quality_score,sector_coverage_ratio,annular_coverage_ratio
baseline_full,L0,reference,Audited available full-field baseline.,11915,1.0,1.0,17.23107550212695,35.164200000000164,1.2659227254653054,3307.6116,3328.32,1.0062608318340642,1.0,1.0,1.0
ctrl_radial_compact_015,C_rad-,same-condition control,Uniform 1.5% radial compaction around the tower.,11915,1.000702042250942,0.9958023119430225,16.972609369595062,34.59092626923075,1.26629723845232,3257.997426,3278.3952,1.0062608318340642,0.9849999999999999,1.0,1.0
ctrl_radial_expand_015,C_rad+,same-condition control,Uniform 1.5% radial expansion around the tower.,11915,0.9992350493381252,1.000694081737799,17.489541634658867,35.76350409615361,1.2649742434104592,3357.225774,3378.2447999999995,1.006260831834064,1.0,1.0,1.0
ctrl_ellipse_xwide_015,C_ell,same-condition control,"Simple anisotropic ellipse control: east-west expanded, north-south compressed.",11915,0.9993950507965409,0.9886312774143845,16.973444474717127,34.95400857692289,1.2655957269852185,3357.2257739999995,3278.3952,1.0240454762744893,0.9849999999999999,1.0,1.0
ctrl_north_bias_012,C_nb,same-condition control,Smooth north/south radial redistribution with 1.2% amplitude.,11915,0.9999168008688675,0.9992293655931638,17.159422170472972,35.24677069133645,1.2662870592041067,3314.2078191056835,3338.30589342473,1.0072711415923066,1.0,1.0,1.0
ctrl_ring_wave_012,C_wave,same-condition control,Two-lobe radial wave control with 1.2% amplitude.,11915,0.9998929371598546,0.9996331545161333,17.181222736550144,35.264669304557856,1.265953128108842,3278.156628275608,3358.718891495977,1.024575477121954,0.9910947912613464,1.0,1.0
ctrl_azimuth_stagger_018,C_stag,same-condition control,Pure azimuthal stagger control with 0.018 rad amplitude and no radial scaling.,11915,0.9995001772970379,1.0253442071214232,17.0333407888485,35.24375622538673,1.2656832251281922,3314.40897109901,3314.0137049244104,1.0001192711345799,0.9957016467540412,1.0,1.0
deform_0276,L_opt,TS-FPDA representative,TS-FPDA optical-upper representative.,11915,1.0020280690719199,0.9874622878991159,16.20892434745614,33.307839566753955,1.2674113902741342,3098.280533098572,3175.7520790300796,1.0250046905384738,0.9367123192755074,1.0,1.0
deform_0893,L_nom,TS-FPDA representative,TS-FPDA nominal proxy leader.,11915,0.9996977356768677,0.980865454364389,16.961064534053172,34.825004801735986,1.265515302983562,3325.3281069738105,3349.8269037714617,1.0073673321878442,1.0,1.0,1.0
deform_1387,L_rob,TS-FPDA representative,TS-FPDA receiver-risk representative.,11915,0.9990214661701345,0.9618992087588972,16.368308685912023,34.50832981988947,1.2668782831502934,3371.931911077234,3187.531724949739,1.0578504630037533,0.9576998981317117,1.0,1.0
deform_1822,L_ctrl,TS-FPDA representative,TS-FPDA default-flux-control representative.,11915,1.0002528853456973,0.9865095731811593,17.02485216265993,34.80115822618404,1.266006510587079,3284.9806662025776,3301.2451093400614,1.004951153382673,0.991865298210527,1.0,1.0
