sampling_tag,layout_id,label,flux_bins,flux_map_count,active_mean,active_p95,active_p99,active_peak,p95_to_active_mean,p99_to_active_mean,peak_to_active_mean,active_cv,opteff_mean,delta_opteff_mean_pct,delta_peak_to_active_mean_pct,delta_p95_to_active_mean_pct,delta_p99_to_active_mean_pct,delta_active_cv_pct
baseline8,baseline_full,L0,24,86,0.0023467338020220466,0.0026951113250106,0.0027652133489027,0.0032008260022848,1.1484520837806045,1.1783242507181997,1.3639493322705927,0.09691736882280924,0.3572860833242061,0.0,0.0,0.0,0.0,0.0
baseline8,deform_0276,L_opt,24,86,0.002354532239643279,0.00270624447148285,0.0027836534893139297,0.0033617219887673,1.14937668973811,1.1822532910977104,1.4277663869561685,0.09870574124517842,0.368531810689137,3.1475413932443574,4.678843500684771,0.0805088841374868,0.33344305500933036,1.8452548228365506
baseline8,deform_0893,L_nom,24,86,0.002348018501371122,0.00270255038049065,0.0027655460406094197,0.0032473832834511,1.1509919444469878,1.1778212305373588,1.3830313864881367,0.09833798385717807,0.3581512584642348,0.24215192821928078,1.3990295508835127,0.22115512717102437,-0.04268945330916374,1.4658002498665557
baseline8,deform_1387,L_rob,24,86,0.002348710196487707,0.0026916442438959503,0.0027493273839354396,0.0032796731684356,1.1460095195742206,1.170569016154833,1.3963720059375855,0.09678235370314922,0.3598089438890156,0.7061177813971087,2.3771171626308263,-0.21268316204740012,-0.6581579356140566,-0.1393095183040538
baseline8,joint_g02_0333,J_bal,24,86,0.002349007480577957,0.0026933785993605497,0.0027560821035876497,0.0032609610352665,1.1466028191182527,1.1732964353564064,1.3882293105614816,0.09699012853482386,0.3605554104209499,0.9150446237160548,1.7801231846691579,-0.16102236118238356,-0.4266920042364286,0.07507396548047662
baseline8,joint_g04_0478,J_flux,24,86,0.002346113853468281,0.0026968067977576997,0.0027532251551746502,0.0032321964390575,1.1494782291878063,1.1735258078394333,1.377680982651083,0.09766200369028469,0.3548141011438901,-0.6918775445482028,1.0067566335203226,0.08935030217576134,-0.40722601404848957,0.7683193183224413
baseline8,sb_hy_energy,"B_hy,E",24,86,0.0023504187126338998,0.00270573236048215,0.00278736278414725,0.0032586518209427,1.151170362088414,1.185900524517058,1.3864133243268075,0.09813134284389999,0.3635035268644145,1.7401863185828592,1.646981418204052,0.23669061567297422,0.6429702006252036,1.2525866476113423
baseline8,sb_pf_flux,"B_pf,R",24,86,0.0023467929123860936,0.00270224036648865,0.0027709397254510795,0.0031836424022912,1.151460937275951,1.1807346574239208,1.3565928145974508,0.09783004116916971,0.3543526462514609,-0.8210331187412434,-0.5393541753413444,0.26199207941193237,0.20456225900908898,0.9417015313623267
baseline8,sb_hs_flux,"B_hs,R",24,86,0.0023467282638624915,0.002696955576539,0.00276662376709274,0.003195208730176,1.1492406760806928,1.1789280462063982,1.36155889004251,0.09721236040188107,0.3544315695935143,-0.7989434416625585,-0.17525887300398058,0.06866566844412336,0.051241879120333955,0.3043743166523116
extended,baseline_full,L0,24,130,0.0023462898382440446,0.002694264519959625,0.002760650019627,0.0032008260022848,1.1483084809232278,1.1766022997794088,1.364207418074268,0.09622755354801991,0.3567629134165396,0.0,0.0,0.0,0.0,0.0
extended,deform_0276,L_opt,24,130,0.0023539088566689537,0.002705588529352025,0.002779779362026545,0.0033617219887673,1.1494024170420676,1.1809205586490914,1.4281445006857723,0.0980702014044906,0.3679090846566936,3.124251658731203,4.686756703152861,0.0952650038742453,0.36701091528481555,1.914885901729968
extended,deform_0893,L_nom,24,130,0.002347525444620572,0.002700657118111775,0.0027614154270849353,0.0032473832834511,1.1504271974135212,1.1763090506272487,1.3833218680941584,0.09763278290290422,0.3576478974161247,0.24805941601666603,1.401139575012178,0.18450760623049955,-0.02492338764041868,1.4603191113895075
extended,deform_1387,L_rob,24,130,0.002348215231659415,0.00269056024262675,0.0027465248713269405,0.0032796731684356,1.14578945164469,1.1696222877261773,1.3966663379991582,0.09607354672049415,0.3592631038466732,0.7007988600021609,2.379324397070759,-0.219368690590227,-0.5932346090552598,-0.16004441747436982
extended,joint_g02_0333,J_bal,24,130,0.0023484966108089454,0.00269188312813635,0.002751899766735725,0.0032609610352665,1.1462154621586294,1.1717708060851009,1.3885312928526024,0.09631640302407507,0.3599951738603307,0.9059967620617781,1.783004142630329,-0.1822697297259035,-0.4106309919004736,0.09233267684687352
extended,joint_g04_0478,J_flux,24,130,0.0023456922560890067,0.0026955290231853502,0.00275072765070938,0.0032321964390575,1.1491400955041005,1.1726720091132894,1.3779285968426949,0.09696474025806155,0.3543249732015336,-0.6833502371810574,1.0057985748088027,0.07242083418246281,-0.33403730953579513,0.7660869292221539
extended,sb_hy_energy,"B_hy,E",24,130,0.00234985894204865,0.002704287122469375,0.0027831056504509857,0.0032586518209427,1.150829555799519,1.1843713682765244,1.3867435881499117,0.09744242039983227,0.3629366819846026,1.7304961743192182,1.6519606752656513,0.21954683067952896,0.6602968988393298,1.262493752588334
extended,sb_pf_flux,"B_pf,R",24,130,0.002346398870465808,0.0027004518196917502,0.0027674238546750917,0.0031836424022912,1.1508920557721098,1.1794345324270046,1.3568206336798918,0.09716969912016823,0.3538551212843392,-0.8150488806008216,-0.5414707687782183,0.22498961662329453,0.24071282608633116,0.9790808738353363
extended,sb_hs_flux,"B_hs,R",24,130,0.0023463121074075166,0.0026955439243465,0.0027603773633017668,0.003195208730176,1.1488428652933373,1.1764749261562473,1.3618003845645432,0.09652451932232556,0.3539332612192999,-0.7931463980214493,-0.17644190156381745,0.04653665621976444,-0.010825545996751007,0.3086078398090608
