layout_id,label,family,role,heliostat_count,mean_displacement_m,median_displacement_m,p95_displacement_m,p99_displacement_m,mean_radial_shift_m,median_radial_shift_m,p05_radial_shift_m,p95_radial_shift_m,mean_abs_tangential_shift_m,nearest_neighbor_min_m,nearest_neighbor_p05_m,nearest_neighbor_median_m,nearest_neighbor_p95_m,sector_max_abs_delta_count,sector_l1_shift_pct_of_field,radial_density_l1_shift_pct_of_field
baseline_full,L0,reference,baseline,11915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.23107550212695,17.852068658829488,25.75518349769615,32.05217154889822,0,0.0,0.0
deform_0276,L_opt,TS-FPDA,optical stress case,11915,58.066748391625914,55.74745373016541,107.48407078830621,120.2682662267764,-56.40292536627083,-54.74593145998119,-102.22742836191655,-16.614139590922854,13.041220698150891,16.20892434745614,16.818717881058607,24.458320529749123,30.351394044992116,25,1.082668904741922,7.343684431389006
deform_0893,L_nom,TS-FPDA,nominal proxy leader,11915,23.564206611368817,15.82603953900929,68.88072723537151,96.64762473082116,-5.319059610619452,-2.572829731942079,-35.44229297311899,14.025108735732964,19.741144276074873,16.961064534053172,17.642344214955585,25.68931913153993,31.76548530386625,29,1.5107007973143096,4.993705413344524
deform_1387,L_rob,TS-FPDA,receiver-risk candidate,11915,37.65014138950165,30.939263645665854,89.5511246118532,120.87688047391163,-12.72383183724567,-7.5647839955511245,-56.709677228978464,13.340913966044262,27.649691947247547,16.368308685912023,17.304534817916878,25.49581854701548,31.79703391829374,40,2.5765841376416283,5.035669324381032
ctrl_radial_expand_015,C_rad+,control,simple radial flux-control row,11915,15.308384877916794,15.18587421112957,26.78877856160718,29.022200487688362,15.308384877916794,15.185874211129544,4.454031052710491,26.788778561607067,0.0,17.489541634658856,18.11984968871193,26.14151125016141,32.532954122131606,0,0.0,9.559378934116658
joint_g02_0333,J_bal,joint,no-energy-loss balance candidate,11915,26.155791865580607,21.431480287285474,63.43556869261886,83.13568292333406,-16.297992777733157,-13.948255310885543,-37.27200429940467,-3.888760403751543,17.808465845521773,16.625108197957736,17.38509593202728,25.485389936299303,31.53613798394745,38,1.770877045740663,6.311372219890894
joint_g04_0478,J_flux,joint,receiver-boundary candidate,11915,34.78209755203533,27.095451336173678,94.02166433101316,128.878321115115,11.052719564280993,9.254879904030645,-9.291280107977196,37.99955987599219,28.133614297481902,16.841469515598686,17.755767624119375,26.102105750974314,32.39941113586578,33,2.4842635333613092,4.809064204783885
sb_hy_energy,"B_hy,E",hybrid approximation,annual-positive strong baseline,11915,30.827833188774825,31.798358281387276,53.78203977283944,63.93097660686692,-29.93545096130478,-31.07800946533939,-52.868429402528406,-9.18315779273309,6.5917227744896945,16.49635310661904,17.28974211774143,24.984856897625026,31.192052997857125,32,1.1833822912295426,6.219051615610577
sb_pf_flux,"B_pf,R",pattern-free approximation,receiver-pressure strong baseline,11915,19.516543490628347,15.41389811248161,45.36299315699475,47.41581570292385,13.625944846249588,10.138887519310401,-4.665379357421181,40.85483131386231,9.436719429615373,17.01832903613663,17.807619378666583,26.223867387739226,32.60221951177807,21,1.0239194292908098,4.993705413344525
sb_hs_flux,"B_hs,R",slider-like approximation,receiver-pressure strong baseline,11915,15.845421447531782,12.503178204381213,36.90547671194516,46.94350805557169,12.162605221460662,9.6145077907521,0.9145575520618423,33.21857502887915,8.162793645572176,17.174427547566253,17.946321781894614,26.0737115428764,32.542608404199676,24,1.141418380193034,6.160302140159462
deform_1822,L_ctrl,TS-FPDA,default-flux-control representative,11915,12.306274655584595,10.320083717339523,29.176260775483122,38.88824611874972,-8.743307931411056,-7.287601532065196,-19.568540580195236,-2.27872452954168,6.926925256168345,17.02485216265993,17.64450516125981,25.675590357432878,31.738444613663503,38,1.166596726814939,7.284934955937893
