layout_id,strategy,mean_delta_peak_pct_v9,median_delta_peak_pct_v9,share_lower_peak_v9,mean_delta_peak_pct_v10,median_delta_peak_pct_v10,share_lower_peak_v10,strategy_short,mean_shift_pct,median_shift_pct,same_mean_sign
deform_0276,staggered_levels:9:0.380:0,1.7843414856605893,6.364424574858582,0.4444444444444444,-0.2541583992069383,-0.2744867654744172,0.5925925925925926,S9-p0,-2.0384998848675275,-6.638911340332999,False
deform_0276,staggered_levels:9:0.380:1,-0.3984350745631397,-0.6727101100838383,0.6666666666666666,-0.2462923279696987,-0.5659202950459599,0.7407407407407407,S9-p1,0.15214274659344101,0.10678981503787843,True
deform_0276,staggered_levels:9:0.380:2,3.9515954041230223,-0.495292711558676,0.5925925925925926,1.523965504125074,-0.2954965450128722,0.5925925925925926,S9-p2,-2.4276298999979486,0.1997961665458038,True
deform_0276,five_point,1.602369271570416,-0.2024476997307335,0.5555555555555556,-0.3057752022829927,-0.1135362617201874,0.5555555555555556,five-point,-1.9081444738534088,0.08891143801054611,False
deform_0276,visible_equator,0.3777000656476832,-0.8828965461055457,0.5555555555555556,0.322732243953617,-0.940336051148899,0.6296296296296297,visible,-0.05496782169406622,-0.05743950504335327,True
deform_0893,staggered_levels:9:0.380:0,0.6711985397701299,0.1897789899742192,0.3703703703703703,0.4396199731752511,-0.0670953873100252,0.5185185185185185,S9-p0,-0.2315785665948788,-0.2568743772842444,True
deform_0893,staggered_levels:9:0.380:1,-3.0409839147296056,-6.736606709345681,0.5555555555555556,0.7542873617730225,0.6529323676389464,0.4074074074074074,S9-p1,3.795271276502628,7.389539076984628,False
deform_0893,staggered_levels:9:0.380:2,-2.0357310757967046,-0.2205793526962815,0.5555555555555556,1.221661393610903,0.4566134176677326,0.3703703703703703,S9-p2,3.2573924694076077,0.6771927703640142,False
deform_0893,five_point,-0.6345926328905486,0.0431325099592701,0.4074074074074074,-2.33069943527397,-6.424366393954088,0.5925925925925926,five-point,-1.6961068023834214,-6.467498903913358,True
deform_0893,visible_equator,-0.2982166390555844,0.0316985809709018,0.4814814814814814,0.6241749854171807,0.1349814857574647,0.4814814814814814,visible,0.9223916244727651,0.10328290478656288,False
deform_1387,staggered_levels:9:0.380:0,-0.5659008480081027,-0.0930055397009528,0.5555555555555556,0.5172385443530115,0.1981032750960483,0.4444444444444444,S9-p0,1.0831393923611143,0.2911088147970011,False
deform_1387,staggered_levels:9:0.380:1,0.1029397397194504,0.0668415237986831,0.4814814814814814,-2.6933967591929275,-0.4015038463040487,0.6296296296296297,S9-p1,-2.796336498912378,-0.4683453701027318,False
deform_1387,staggered_levels:9:0.380:2,2.282358475736094,0.2004871179023064,0.4814814814814814,-1.2088607224891017,-0.2565742622698566,0.5925925925925926,S9-p2,-3.4912191982251954,-0.45706138017216297,False
deform_1387,five_point,-3.414244651915336,-5.652895205922393,0.5555555555555556,-0.6516753303665465,0.0468562860294058,0.4814814814814814,five-point,2.7625693215487894,5.699751491951798,True
deform_1387,visible_equator,0.7646013473905396,0.0891251836091326,0.4814814814814814,-1.1280967958990569,-0.4528642131982839,0.6296296296296297,visible,-1.8926981432895964,-0.5419893968074165,False
deform_1822,staggered_levels:9:0.380:0,0.9740558320086176,0.2610422840113935,0.3703703703703703,-2.476488947081819,-0.5612687499998843,0.6666666666666666,S9-p0,-3.4505447790904364,-0.8223110340112778,False
deform_1822,staggered_levels:9:0.380:1,-0.5589164452131687,0.0014303938348082,0.4814814814814814,-2.172642219447108,-0.1646626560649142,0.6296296296296297,S9-p1,-1.613725774233939,-0.1660930498997224,True
deform_1822,staggered_levels:9:0.380:2,-1.0170179891669118,-0.1400264952368472,0.5555555555555556,-0.6971164960854368,-0.1290624247364825,0.5555555555555556,S9-p2,0.319901493081475,0.010964070500364714,True
deform_1822,five_point,-2.373042578075766,-0.2767292801776886,0.5555555555555556,-2.32135676699748,-0.1401009570822452,0.5555555555555556,five-point,0.05168581107828585,0.1366283230954434,True
deform_1822,visible_equator,-0.579048241548476,-0.0791814094534755,0.5185185185185185,-0.4912691602040377,-0.1133684349172791,0.5185185185185185,visible,0.08777908134443829,-0.0341870254638036,True
