view,layout_id,label,role,family,strategy,strategy_short,cases,mean_delta_peak_pct,median_delta_peak_pct,ci95_low_pct,ci95_high_pct,share_lower_peak,p10_delta_peak_pct,p90_delta_peak_pct,median_delta_intercept_pctpt
proxy-selected,deform_0893,$L_{nom}$,held-out TS-FPDA nominal,tsfpda,staggered_levels:9:0.380:2,S9-p2,27,4.733846590769371,0.7856316030231433,0.4843801694988825,9.145898860152077,0.2962962962962963,-8.54708896343477,20.465036240685908,-0.15499999999999403
proxy-selected,deform_1387,$L_{rob}$,held-out TS-FPDA receiver-risk,tsfpda,staggered_levels:9:0.380:1,S9-p1,27,0.9652472676687763,0.5632208131188666,-3.7855445012318123,5.663711096926202,0.4444444444444444,-16.718155958131263,11.107576020163501,-0.09166666666665657
proxy-selected,ctrl_radial_expand_015,$C_{rad+}$,simple radial-control baseline,control,staggered_levels:9:0.380:0,S9-p0,27,-0.4430438554998378,-0.09768555271372312,-5.6396477143583885,4.736515816865726,0.5185185185185185,-11.945428328048976,14.926774272910961,-0.43000000000000815
proxy-selected,joint_g04_0478,$J_{flux}$,joint receiver-boundary,joint,staggered_levels:9:0.380:6,S9-p6,27,4.632017321485891,0.7686307258473223,0.11852855506373787,9.167343996314209,0.4074074074074074,-12.095189860986562,19.260960062016697,-0.5900000000000016
proxy-selected,joint_g02_0333,$J_{bal}$,joint balance candidate,joint,staggered_levels:9:0.380:0,S9-p0,27,-1.3418292380824444,-0.05315774052391916,-5.441690487239272,2.432445272439138,0.5555555555555556,-15.592230635795095,10.065757637334412,0.04166666666666208
proxy-selected,sb_hy_energy,"$B_{hy,E}$",hybrid annual-positive strong baseline,strong,staggered_levels:9:0.380:2,S9-p2,27,7.250488843018156,9.405946704331065,4.386116815843095,10.239868015053815,0.2222222222222222,-0.08260052624728108,20.072009192413894,0.8883333333333354
proxy-selected,sb_pf_flux,"$B_{pf,R}$",pattern-free receiver-pressure strong baseline,strong,staggered_levels:9:0.380:8,S9-p8,27,4.781361345002421,0.44266650682078573,1.7532476284595044,7.910468752951863,0.3333333333333333,-3.4336250035218954,14.096658112419018,-0.5266666666666642
proxy-selected,sb_hs_flux,"$B_{hs,R}$",slider-like receiver-pressure strong baseline,strong,staggered_levels:9:0.380:2,S9-p2,27,3.2382209398471025,0.6440336964413476,0.13008572892414452,6.310101197158269,0.14814814814814814,-3.537325461655377,10.903127155651857,-0.4766666666666697
best-direct,deform_0893,$L_{nom}$,held-out TS-FPDA nominal,tsfpda,visible_equator,visible,27,-0.3634034546431786,0.12298042455919271,-3.5276693263635988,2.7945805213960275,0.48148148148148145,-11.114129081191939,9.768838926615189,-0.12333333333333085
best-direct,deform_1387,$L_{rob}$,held-out TS-FPDA receiver-risk,tsfpda,five_point,five-point,27,0.21742984545840308,-0.022931459752147762,-3.9764178103347434,4.6292719656088,0.5555555555555556,-12.803409140197711,15.337821724871848,-0.12666666666666382
best-direct,ctrl_radial_expand_015,$C_{rad+}$,simple radial-control baseline,control,staggered_levels:9:0.380:0,S9-p0,27,-0.4430438554998378,-0.09768555271372312,-5.612217089843704,4.748724075955876,0.5185185185185185,-11.945428328048976,14.926774272910961,-0.43000000000000815
best-direct,joint_g04_0478,$J_{flux}$,joint receiver-boundary,joint,staggered_levels:9:0.380:1,S9-p1,27,-2.27010268113066,0.09256796120416831,-6.628146124873935,1.8666028905517844,0.48148148148148145,-16.275978560010433,10.85797241590634,-0.7433333333333292
best-direct,joint_g02_0333,$J_{bal}$,joint balance candidate,joint,staggered_levels:9:0.380:0,S9-p0,27,-1.3418292380824444,-0.05315774052391916,-5.378627388597228,2.542833290221799,0.5555555555555556,-15.592230635795095,10.065757637334412,0.04166666666666208
best-direct,sb_hy_energy,"$B_{hy,E}$",hybrid annual-positive strong baseline,strong,staggered_levels:9:0.380:1,S9-p1,27,-0.5334229958551006,-0.8445692840553817,-4.751889170209691,3.964971997742523,0.6666666666666666,-12.58483115216956,10.803199070213992,0.8516666666666617
best-direct,sb_pf_flux,"$B_{pf,R}$",pattern-free receiver-pressure strong baseline,strong,staggered_levels:9:0.380:1,S9-p1,27,-0.5078984248239073,0.45714690528470336,-5.2458696817862664,4.318908829153748,0.4074074074074074,-17.346906337584034,11.767330868248614,-0.6516666666666615
best-direct,sb_hs_flux,"$B_{hs,R}$",slider-like receiver-pressure strong baseline,strong,staggered_levels:9:0.380:1,S9-p1,27,-0.2693144207256744,-0.027968615379548308,-4.942453540172319,4.5213060389273565,0.5185185185185185,-16.90040735137155,11.238738856335406,-0.5266666666666642
